facility_name,ward,subcounty,county,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
Moruese dispensary,Turkwel Ward,Loima Sub County,Turkana County,21307,14251,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Baawa Community Dispensary,Baawa Ward,Samburu Central Sub County,Samburu County,17273,10947,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Lodokejek Catholic Dispensary,Lodokejek Ward,Samburu Central Sub County,Samburu County,15047,4273,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Lchakwai Dispensary,Baawa Ward,Samburu Central Sub County,Samburu County,20764,2756,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Pims Medical Clinic,Maralal Ward,Samburu Central Sub County,Samburu County,16320,12770,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Nameyana Dispensary,Turkwel Ward,Loima Sub County,Turkana County,15298,14989,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Nasiger Dispensary,Turkwel Ward,Loima Sub County,Turkana County,18355,14115,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Wima Medical Clinic (Samburu East),Wamba east Ward,Samburu East Sub County,Samburu County,19947,9075,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
GSU Dispensary (Kibish),Kibish Ward,Kibish Sub County,Turkana County,14540,16452,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
County Medicare Ltd (Maralal Nursing Home),Maralal Ward,Samburu Central Sub County,Samburu County,18812,13161,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lomeleku Dispensary,Kalapata Ward,Turkana South Sub County,Turkana County,21331,5209,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kiltamany Dispensary,Waso Ward,Samburu East Sub County,Samburu County,19945,10807,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lengusaka Dispensary,Samburu East Sub County,Samburu County,Kenya,23345,2061882,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lokwar Dispensary (Turkana South),Kaputir Ward,Turkana South Sub County,Turkana County,22001,1183,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lobei Health Centre,Kotaruk/Lobei Ward,Loima Sub County,Turkana County,18737,15246,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Ledero Dispensary,Maralal Ward,Samburu Central Sub County,Samburu County,15017,12754,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Nadapal Dispensary,Turkwel Ward,Loima Sub County,Turkana County,15273,14867,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lorugum Sub County Hospital,Turkwel Ward,Loima Sub County,Turkana County,,15105,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kibish Dispensary,Kibish Ward,Kibish Sub County,Turkana County,14854,15266,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kangalita Dispensary,Turkwel Ward,Loima Sub County,Turkana County,17476,14785,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kanaodon Dispensary,Katilu Ward,Turkana South Sub County,Turkana County,14682,17204,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Napeikar Dispensary,Turkwel Ward,Loima Sub County,Turkana County,18070,14113,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Reliance Medical Clinic,Maralal Ward,Samburu Central Sub County,Samburu County,17806,9311,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Remot Dispensary,Wamba west Ward,Samburu East Sub County,Samburu County,20745,10100,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Maralal Medical Clinic,Maralal Ward,Samburu Central Sub County,Samburu County,16322,11003,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lerrata Dispensary,Waso Ward,Samburu East Sub County,Samburu County,15028,12467,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Al -Arbrar Medical Clinic,Maralal Ward,Samburu Central Sub County,Samburu County,17185,11009,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Samburu Beyond Zero Mobile Clinic,Maralal Ward,Samburu Central Sub County,Samburu County,20984,10020,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kakalel Dispensary,Kalapata Ward,Turkana South Sub County,Turkana County,21334,16961,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lokichar (RCEA) Health Centre,Lokichar Ward,Turkana South Sub County,Turkana County,15057,17394,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
NYS Dispensary (Kirimun),Lodokejek Ward,Samburu Central Sub County,Samburu County,15379,10878,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lokwatubwa (PAG) Dispensary,Loima Ward,Loima Sub County,Turkana County,16697,7332,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Naibor Keju Dispensary,Lodokejek Ward,Samburu Central Sub County,Samburu County,20718,2700,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Loltulelei Friends Dispensary,Lodokejek Ward,Samburu Central Sub County,Samburu County,14504,10933,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Naagis Dispensary,Turkwel Ward,Loima Sub County,Turkana County,22853,8213,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Ngutuk-Engiron Dispensary,Wamba east Ward,Samburu East Sub County,Samburu County,15355,10833,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Lobulono Dispensary,Kibish Ward,Kibish Sub County,Turkana County,22661,1186,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Napusimoru Dispensary,Lokichar Ward,Turkana South Sub County,Turkana County,15309,3757,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Nadapal Primary Health Care Programme,Turkwel Ward,Loima Sub County,Turkana County,15274,14602,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Loosuk Health Centre,Loosuk Ward,Samburu Central Sub County,Samburu County,15079,12283,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Marte Parleu Dispensary,Wamba north Ward,Samburu East Sub County,Samburu County,20747,10105,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Loruth Dispensary,Kaaleng/kaikor Ward,Kibish Sub County,Turkana County,15092,11247,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kisima Health Centre,Lodokejek Ward,Samburu Central Sub County,Samburu County,14943,1989,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Lochoredome dispensary,Loima Ward,Loima Sub County,Turkana County,21348,14836,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Namakat Dispensary,Katilu Ward,Turkana South Sub County,Turkana County,21333,17116,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Longewan Dispensary,Saguta Marmar Ward,Samburu Central Sub County,Samburu County,15076,12917,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Community Medical and Lab Services Clinic,Maralal Ward,Samburu Central Sub County,Samburu County,14395,11011,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Katilu Sub County Hospital,Katilu Ward,Turkana South Sub County,Turkana County,14818,3756,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Suguta Marmar Health Centre,Saguta Marmar Ward,Samburu Central Sub County,Samburu County,15682,10874,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Alpha Medical Clinic,Maralal Ward,Samburu Central Sub County,Samburu County,16321,11010,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kasuroi Dispensary,Lokichar Ward,Turkana South Sub County,Turkana County,14813,17484,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lolkuniyani Dispensary,Wamba north Ward,Samburu East Sub County,Samburu County,20743,3430,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Wamba Health Centre,Wamba east Ward,Samburu East Sub County,Samburu County,15768,13402,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Lokipetotarengan dispensary,Kotaruk/Lobei Ward,Loima Sub County,Turkana County,21330,14998,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kalemngorok Dispensary,Katilu Ward,Turkana South Sub County,Turkana County,14660,17372,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Nkutuk Elmuget Dispensary,Wamba east Ward,Samburu East Sub County,Samburu County,18030,5615,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Kopeeto Dispensary,Kotaruk/Lobei Ward,Loima Sub County,Turkana County,14989,14126,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Morijo Catholic Dispensary,Angata nayokie Ward,Samburu Central Sub County,Samburu County,15221,7413,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Locheremoit Dispensary,Lokichar Ward,Turkana South Sub County,Turkana County,15043,17016,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Loroo dispensary,Turkwel Ward,Loima Sub County,Turkana County,21306,14787,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kagitankori Dispensary,Katilu Ward,Turkana South Sub County,Turkana County,21332,17348,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
West Gate Dispensary,Waso Ward,Samburu East Sub County,Samburu County,15780,12230,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Napak Dispensary,Kibish Ward,Kibish Sub County,Turkana County,20638,14635,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Opiroi Dispensary,Baawa Ward,Samburu Central Sub County,Samburu County,15442,1273,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Turkwel Health Centre (Loima),Turkwel Ward,Loima Sub County,Turkana County,15754,15076,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Samburu County Referral Hospital,Maralal Ward,Samburu Central Sub County,Samburu County,15126,13505,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Lokamarinyang Dispensary,Kibish Ward,Kibish Sub County,Turkana County,15054,14378,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kaakong Dispensary,Lobokat Ward,Turkana South Sub County,Turkana County,20222,17178,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kokuro Health Centre,Lapur Ward,Kibish Sub County,Turkana County,14975,13238,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Natuntun dispensary,Turkwel Ward,Loima Sub County,Turkana County,21308,14788,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Nakwamoru Health Centre,Kaputir Ward,Turkana South Sub County,Turkana County,15292,17094,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lodungokwe Health Centre,Wamba west Ward,Samburu East Sub County,Samburu County,15048,13336,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Baraka Medical Clinic (Samburu East),Waso Ward,Samburu East Sub County,Samburu County,16670,13381,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Juluk Dispensary,Kaputir Ward,Turkana South Sub County,Turkana County,14601,17300,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Sasame Dispensary,Lapur Ward,Kibish Sub County,Turkana County,22852,8757,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Koyasa Dispensary,Kibish Ward,Kibish Sub County,Turkana County,14996,14857,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lkiloriti Dispensary,Lodokejek Ward,Samburu Central Sub County,Samburu County,20717,9360,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Nakaalei Dispensary,Kalapata Ward,Turkana South Sub County,Turkana County,15284,17261,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Porro Health Centre,Porro Ward,Samburu Central Sub County,Samburu County,15468,11057,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Korinyang Dispensary,Katilu Ward,Turkana South Sub County,Turkana County,22000,1202,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lpartuk Dispensary,Maralal Ward,Samburu Central Sub County,Samburu County,17276,10999,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Sirata Oirobi Dispensary,Porro Ward,Samburu Central Sub County,Samburu County,15590,10975,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Nkaroni Dispensary,Wamba west Ward,Samburu East Sub County,Samburu County,19942,2256,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lolmolog Dispensary,Saguta Marmar Ward,Samburu Central Sub County,Samburu County,17189,8486,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Kaapus Dispensary,Turkwel Ward,Loima Sub County,Turkana County,20001,15072,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
St Bridgit Kalemunyang Dispensary,Kotaruk/Lobei Ward,Loima Sub County,Turkana County,14661,16308,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kaikor Sub County Hospital,Kaaleng/kaikor Ward,Kibish Sub County,Turkana County,14643,2013,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Intrepids Dispensary,Waso Ward,Samburu East Sub County,Samburu County,14576,5711,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Karebur Dispensary,Lapur Ward,Kibish Sub County,Turkana County,20637,10123,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kabulokor Dispensary,Turkwel Ward,Loima Sub County,Turkana County,20840,14897,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Barsaloi Catholic Dispensary,Angata nayokie Ward,Samburu Central Sub County,Samburu County,14236,5200,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Lkuroto Dispensary,Maralal Ward,Samburu Central Sub County,Samburu County,17145,10986,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Kangakipur Dispensary,Kalapata Ward,Turkana South Sub County,Turkana County,14686,17212,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Archers Post Health Centre,Waso Ward,Samburu East Sub County,Samburu County,14212,13403,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Katir Dispensary,Kalapata Ward,Turkana South Sub County,Turkana County,21066,14414,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Sereolipi Health Centre,Waso Ward,Samburu East Sub County,Samburu County,15547,9040,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Lochorekuyen Dispensary,Loima Ward,Loima Sub County,Turkana County,17480,14107,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kasegol Etom dispensary,Turkwel Ward,Loima Sub County,Turkana County,21350,14815,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lokiriama Dispensary,Lokiriama/Lorengippi Ward,Loima Sub County,Turkana County,15061,7290,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Maralal Catholic Dispensary,Maralal Ward,Samburu Central Sub County,Samburu County,15125,12939,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Loyapat Dispensary,Lobokat Ward,Turkana South Sub County,Turkana County,15098,17375,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Urum Dispensary,Lokiriama/Lorengippi Ward,Loima Sub County,Turkana County,21217,14863,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Ekicheles Dispensary,Kaaleng/kaikor Ward,Kibish Sub County,Turkana County,21389,13254,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Times Medical Clinic,Maralal Ward,Samburu Central Sub County,Samburu County,16319,12284,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Sopa Lodge Dispensary,Waso Ward,Samburu East Sub County,Samburu County,17809,10792,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Samburu Lodge Dispensary,Waso Ward,Samburu East Sub County,Samburu County,15524,10772,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Angata Nanyokie Dispensary,Angata nayokie Ward,Samburu Central Sub County,Samburu County,17274,11050,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Seketet Dispensary,Porro Ward,Samburu Central Sub County,Samburu County,15543,11023,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Kirimun GK Dispensary,Lodokejek Ward,Samburu Central Sub County,Samburu County,14515,10858,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Lopur Dispensary (Turkana South),Katilu Ward,Turkana South Sub County,Turkana County,15083,11201,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Kaitese Dispensary,Turkwel Ward,Loima Sub County,Turkana County,17477,14772,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Todonyang Dispensary,Lapur Ward,Kibish Sub County,Turkana County,15731,16878,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lokichar Sub County Hospital,Lokichar Ward,Turkana South Sub County,Turkana County,21345,17276,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lomil Dispensary,Turkwel Ward,Loima Sub County,Turkana County,15072,14691,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
lolkunono Dispensary,Loosuk Ward,Samburu Central Sub County,Samburu County,20721,9289,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Swari Model Health Centre,Wamba north Ward,Samburu East Sub County,Samburu County,15693,9044,2018Q2,"FPRH, MCH,",AFYA TIMIZA,2045428
Ngilai Dispensary,Wamba north Ward,Samburu East Sub County,Samburu County,14459,11102,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Kapelibok Dispensary,Kaputir Ward,Turkana South Sub County,Turkana County,14700,17167,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Namoruputh (PAG) Health Centre,Loima Ward,Loima Sub County,Turkana County,15299,15247,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Sasakechoke dispensary,Kotaruk/Lobei Ward,Loima Sub County,Turkana County,21309,14999,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lorogon Dispensary,Kaputir Ward,Turkana South Sub County,Turkana County,15088,17326,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Catholic Hospital Wamba,Wamba east Ward,Samburu East Sub County,Samburu County,15769,8501,2018Q2,"FPRH, MCH",AFYA TIMIZA,2045428
Kekorisogol Dispensary,Lokichar Ward,Turkana South Sub County,Turkana County,21346,17434,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lochoralomala dispensary,Lokiriama/Lorengippi Ward,Loima Sub County,Turkana County,21347,14547,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Sopel Dispensary,Lokichar Ward,Turkana South Sub County,Turkana County,20782,17539,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Lolgese Dispensary,Saguta Marmar Ward,Samburu Central Sub County,Samburu County,20719,8749,2018Q2,"FPRH, MCH, Nutrition",AFYA TIMIZA,2045428
Bossei Dispensary,Kabartonjo Ward,Baringo North Sub County,Baringo County,14270,4075,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Emmaus Clinic,Amalo Ward,Kuresoi South  Sub County,Nakuru County,14443,8510,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Cheberen Dispensary,Emining  Ward,Mogotio Sub County,Baringo County,14292,10483,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kapkiamo Dispensary,Kabartonjo Ward,Baringo North Sub County,Baringo County,14716,10827,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Salawa Health Centre,Kabarnet Ward,Baringo Central Sub County,Baringo County,15522,1398,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Rebeko Dispensary,Saimoi/kipsaraman Ward,Baringo North Sub County,Baringo County,20474,292620,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
AIC Lalang Amalo Health Center,Amalo Ward,Kuresoi South  Sub County,Nakuru County,21455,2291,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kapkomoi Dispensary,Ewalel/chapchap Ward,Baringo Central Sub County,Baringo County,17019,10667,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Radat Dispensary,Emining  Ward,Mogotio Sub County,Baringo County,15477,1780,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Tendwet Dispensary,Keringet Ward,Kuresoi South  Sub County,Nakuru County,17859,15737,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Sibilo Dispensary,Saimo/soi Ward,Baringo North Sub County,Baringo County,15562,4278,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
TIAN DISPENSARY,Emining  Ward,Mogotio Sub County,Baringo County,20004,1808,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Mercy Dispensary,Kiptagich Ward,Kuresoi South  Sub County,Nakuru County,15173,15677,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kiptagich Health Centre,Sacho Ward,Baringo Central Sub County,Baringo County,14923,1324,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kasisit Dispensary,Saimoi/kipsaraman Ward,Baringo North Sub County,Baringo County,14810,4687,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kiboino Dispensary,Kabarnet Ward,Baringo Central Sub County,Baringo County,14855,10626,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Aiyebo Dispensary,Saimoi/kipsaraman Ward,Baringo North Sub County,Baringo County,14193,4693,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Seguton Dispensary,Nyota Ward,Kuresoi North  Sub County,Nakuru County,21600,293316,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kimalel Health Centre,Marigat Ward,Marigat Sub County,Baringo County,14867,1492,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Mogotio Town Dispensary,Mogotio  Ward,Mogotio Sub County,Baringo County,20005,2458,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kipsaraman Dispensary,Saimoi/kipsaraman Ward,Baringo North Sub County,Baringo County,14912,10863,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Borrowonin Dispensary,Kapropita Ward,Baringo Central Sub County,Baringo County,14269,10644,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Koimugul Dispensary,Mochongoi Ward,Marigat Sub County,Baringo County,23071,292599,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Korao Dispensary,Tinet Ward,Kuresoi South  Sub County,Nakuru County,16391,4077,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kapkein Dispensary,Mogotio  Ward,Mogotio Sub County,Baringo County,14709,12120,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kamara Dispensary,Kamara Ward,Kuresoi North  Sub County,Nakuru County,14668,15506,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Rosoga Dispensary,Mogotio  Ward,Mogotio Sub County,Baringo County,20008,1781,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Molosirwe Dispensary,Kisanana  Ward,Mogotio Sub County,Baringo County,15217,4711,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Sorok Dispensary,Tenges Ward,Baringo Central Sub County,Baringo County,16673,10491,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Chemoinoi Dispensary,Emining  Ward,Mogotio Sub County,Baringo County,17095,4664,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kapkures Dispensary (Baringo),Marigat Ward,Marigat Sub County,Baringo County,14732,6937,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Tirimionin Dispensary,Saimoi/kipsaraman Ward,Baringo North Sub County,Baringo County,15729,7251,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Loboi Dispensary,Mochongoi Ward,Marigat Sub County,Baringo County,15042,1548,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Molo South Dispensary,Nyota Ward,Kuresoi North  Sub County,Nakuru County,15214,9879,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kapkelelwa Dispensary,Kapropita Ward,Baringo Central Sub County,Baringo County,14710,1284,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Silibwet Dispensary,Keringet Ward,Kuresoi South  Sub County,Nakuru County,17860,15736,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kapturo Dispensary (Bartabwa),Bartabwa Ward,Baringo North Sub County,Baringo County,14793,10783,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kapket Dispensary,Tinet Ward,Kuresoi South  Sub County,Nakuru County,19884,1237,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kaptimbor Dispensary,Kabarnet Ward,Baringo Central Sub County,Baringo County,14784,10669,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kapkuei Dispensary,Marigat Ward,Marigat Sub County,Baringo County,14729,3948,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Murindoku Dispensary,Kiptororo Ward,Kuresoi North  Sub County,Nakuru County,17191,15700,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kimeswon Health Centre,Kiptororo Ward,Kuresoi North  Sub County,Nakuru County,20299,9197,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kalabata Dispensary,Bartabwa Ward,Baringo North Sub County,Baringo County,17100,2099,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Kapkole Dispensary,Kabarnet Ward,Baringo Central Sub County,Baringo County,14723,10717,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Koroto Dispensary,Saimo/soi Ward,Baringo North Sub County,Baringo County,14993,12922,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
Lamaiwe Dispensary,Mochongoi Ward,Marigat Sub County,Baringo County,17348,10580,2018Q2,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
