facility_name,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
Misesi Sub County Hospital,13814,8128,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kangema Medical Clinic,10469,14441,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kemri-Mimosa,18505,4828,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Thika Nursing Home,11097,12981,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Namanga Health Centre,15294,9959,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Oltepesi Dispensary,15434,6424,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ijara Health Centre,13370,15102,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ijara District Hospital -Masalani,13406,14134,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Iftin Sub-District Hospital,13369,1674,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
AHF/TSA Kithituni Clinic,17549,11006,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kajiado County Referral Hospital,14652,10294,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kambirwa Health Centre,10443,8129,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mkongani Dispensary,11629,6870,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kichwa Tembo Dispensary,14859,12957,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Anyuongi Dispensary,13482,14632,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Okiki Amayo Health Centre,13972,9228,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
St Patrick Kanamkemer Dispensary,15662,16210,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Cmf Aitong Health Centre,14394,7339,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nakuru West (PCEA) Health Centre,15290,15641,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
St Therese Dispensary,15667,14627,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Suba District Hospital,14130,5622,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Tharaka District Hospital,12795,11466,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Uruku Health Centre,12831,13614,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Sena Health Centre,14075,8948,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Jaima Clinic,10364,6270,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mnyenzeni Health Centre,11638,14519,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Immaculate Medical Clinic,10350,7651,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Jomvu Kuu (MCM) Dispensary,11437,5627,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Akidiva Clinic,13462,13343,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Serawongo Dispensary,14077,14972,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Marti Dispensary,15144,11073,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Upper Solai Health Centre,15763,15753,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
St Alice (EDARP) Dandora Clinic,18219,14847,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kaptumo Sub-County Hospital,14792,4165,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiptere Dispensary,14928,14068,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Seka Health Centre,14074,8119,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ewaso Ngiro Health Centre,14485,7304,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Miniambo Dispensary,16766,5055,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Gatimbi Health Centre,12031,9968,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Flamingo Medical Centre,14551,13270,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Karatina District Hospital,10485,8887,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ndaragwa Health Centre,10829,9864,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Lea Toto VCT (Zimmerman),18828,2312,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiang'ombe Dispensary,10555,12664,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Embu Provincial General Hospital,12004,9522,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nandi Hills District Hospital,14179,3403,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kigetuini Dispensary,10584,5325,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Athi River Health Centre,11936,10093,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ringiti Dispensary,17710,2408,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mapenya Dispensary,17692,10479,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Makongeni Health Centre,19858,14492,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Matongo Medical Clinic,13792,8396,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Sahla Medical Clinic,18044,7198,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Oda Dispensary,11725,3976,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Diani Health Centre,11304,5908,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Lwanda Gwassi Dispensary,13742,8063,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mwala Subcounty Hospital,12618,6563,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ruiri Catholic Health Centre,12716,10437,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Talek Health Centre,15702,10513,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Irwaga Health Centre,14580,5140,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Silanga Dispensary,13186,6689,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
St Mulumba Mission Hospital,10765,12962,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Heshima Clinic,10313,3293,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kitare Health Centre,13705,1404,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kikoneni Health Centre,11472,5961,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
St Joseph(EDARP) Clinic,13207,6975,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Meru District Hospital,12516,10169,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kabiemit Dispensary (Mosop),14618,5666,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Koiwa Health Centre,14970,8430,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Gitugi Health Centre (Muranga North),10279,8403,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Gesuguri Dispensary,13560,8266,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Sachang'wan Health Centre,15509,12923,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Miranga Medical Clinic,11616,5935,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Rekeke Model Health Centre,17114,9293,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Engashura Health Centre,14458,9598,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Subukia Sub-county Hospital,15678,10056,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kangaru Dispensary (Kirinyaga),10468,12635,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mother Kevin Dispensary (Catholic),15232,15615,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Lari Level 4 Hospital,10655,13099,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Olchorro Health Centre,15389,10394,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Chebangang Health Centre,14289,10308,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Oll Mwea Hospital Clinic Embu (Satelite),12696,8628,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Obunga Dispensary,13957,12934,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Magunga Health Centre,13753,4370,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Naivasha Max Prison Health Centre,15281,8299,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mboroga Health Centre,17287,10406,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mukuuni Dispensary,12563,4215,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kandara Health Centre,10459,7644,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Matongo Dispensary,13790,5237,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nkubu Dispensary,12666,6247,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Beacon of Hope Clinic (Kajiado),16667,4412,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mikindani Medical Clinic,11615,5958,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
GK Prisons Dispensary (Kericho),14521,2172,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
10 Engineer VCT,14180,9994,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Takitech Dispensary,15700,7596,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiandutu Health Centre,16814,4520,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kapkesosio Dispensary,14714,7956,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Chepkemel Health Centre (Mosop),14339,10753,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Tewa Medical Clinic,18058,11546,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Garsen Health Centre,11385,6134,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Miritini (MCM) Dispensary,17822,8952,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nyahururu Catholic Dispensary,10889,4958,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiangunyi Dispensary,10559,8319,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Moticho Health Centre,13825,7805,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Embu Children Hospital,12790,6923,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Bondeni Dispensary (Nakuru Central),14263,9483,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Marsabit County Refferal Hospital,12472,13338,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ndeiya Health Centre,10831,2031,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kapchebwai Dispensary,18064,8929,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Angata Health Centre,14205,2881,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nyathuna Level 4 Hospital,10895,7254,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Tuungane Youth Centre (Mbita),14154,4287,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Olbollosat Dispensary,10911,8791,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Machakos Health Care Centre,12439,11275,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Osani Community Dispensary,17726,1466,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Malindi Sub County  Hospital,11555,7699,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Karatu Health Centre,10489,4642,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
AIC Dispensary (Isiolo),12093,16601,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Bomu Medical Centre (Mariakani),18267,12932,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ithanga  Health Centre,10357,4616,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
NYS Karate Dispensary,15380,15707,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiandu Medical Clinic,10553,8848,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Assumption of Mary Dispensary,10040,7574,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kangeta heaith centre,12174,13004,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiangai Medical Clinic,10557,8837,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Bitare Dispensary,13502,5192,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kibunga Sub-District Hospital,12289,11737,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ponge Dispensary (Mbita),14016,7745,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Wesu District Hospital,11906,9276,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Got Kojowi Health Centre,13589,5239,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kinondo Kwetu Community Dispensary,16547,12874,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Egetonto Health Centre,13538,8146,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ugina Health Centre,14155,11758,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Miritini CDF Dispensary,11620,5960,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mangai Dispensary,11560,6264,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ituramiro Medical Clinic,10363,7602,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Maina & Mwangi Health Centre,10671,9740,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Hongwe Catholic Dispensary,11412,2645,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kakuma Mission Hospital,14655,15083,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Baraka Health Centre,17757,3883,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kitengela Sub-County Hospital,14950,13069,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Doldol Sub County Hospital,14404,13097,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mokason Clinic,13819,8377,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Maragua District Hospital,10686,13061,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Murang'a District Hospital,10777,2419,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Difathas Health Centre,10110,3250,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Coast Province General Hospital,11289,10485,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
GK Prison Dispensary (Athi River),14517,3013,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiwamu Dispensary,14954,15614,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Gatundu District Hospital,10233,3657,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ghazi Dispensary,11390,12438,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Marani District Hospital,13772,8524,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kimolwet Dispensary,14875,8191,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Baraka Maternity Home,14230,12920,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Lucky Youth Dispensary,13737,9660,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nyalkinyi (Jersey) Dispensary,16986,8664,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Iranda Subcounty Referal Hospital,13620,8420,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Lokitaung Sub County Hospital,15062,17253,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kenya Navy (Mir) Hospital,11459,6071,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ngong Sub-District Hospital,15351,4288,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Chepterwai Sub-County Hospital,14369,10937,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Baragu Health Centre,11942,2673,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nanyuki District Hospital,15305,4570,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Dundori Health Centre,14424,15500,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ngenda Health Centre,10864,5143,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiambu County Referal Hospital,10539,3830,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
NYS Dispensary (Kilindini),11723,7902,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Consolata Mission Hospital (Mathari),10100,4133,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Abel Migwi Johana Laboratory,10001,6227,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kandiege Sub-District Hospital,13653,9155,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Tenwek Mission Hospital,15719,11609,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Eldama Ravine District Hospital,14432,13177,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nyikendo Medical Clinic,18052,7490,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Msomi Complex Medical Clinic,18055,11698,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kigoro Dispensary,10586,7903,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Marereni Dispensary,11563,13055,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Magina Health Centre,13751,3189,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Sericho Health Centre,12729,12035,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Chogoria (PCEA) Hospital,11970,11689,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ololulunga sub county Hospital,15423,3107,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nyango Dispensary,17646,4264,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ouya Dispensary,14005,15298,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Hola District Hospital,11411,3752,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Taveta District Hospital,11840,9374,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ol-Rongai Dispensary (Rongai),15432,15649,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mrima (Catholic) Dispensary,11651,14320,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Gobei Health Centre,13581,15242,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mogotio sub county hospital,15200,15620,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mahandakini Dispensary,18187,6712,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Uthiru Health Centre,11141,5175,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Shimoni Dispensary,11789,10918,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Gitare Health centre (Gatundu),10257,3681,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kimugul Dispensary (Kipkelion),14882,4439,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Maragua Ridge Health Centre,10687,8025,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Olando Dispensary,13974,3305,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ngao Sub-County Hospital,11711,12679,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Matondoni Dispensary,11579,2685,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Othaya Sub-District Hospital,10922,8631,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kanyenyaini Health Centre,10474,13221,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Consolata Kyeni Hospital,12413,7244,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ndhiwa District Hospital,13841,8132,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiria Health Centre,10624,9659,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kabiyet Sub County Hospital,14623,11053,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Sekenani Health Centre,15541,10445,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Sololo Mision Hospital,12739,9511,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Sotik Health Centre,15619,8292,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Unilever Central Hospital,15761,11808,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Gachika Orthodox Medical Clinic,10196,9143,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Jkuat Hospital,10378,5386,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kenyatta National Hospital,13023,6891,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Usenge Dispensary,14163,14778,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mukothima Health Centre,12560,3023,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Gucha Sub County Referral Hospital,13594,7982,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Merigi Dispensary,15178,5821,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
St Mary Health Centre (Kiserian),15652,13881,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kimana Health Centre,14868,6117,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Latakweny Dispensary,15014,11055,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Vigurungani Dispensary,11880,4338,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Garbatulla District Hospital,12029,12961,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Lussigetti Sub-county Hospital,10666,5774,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ngano Health Centre,10856,3358,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nakuru War Memorial Hospital,15289,9550,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Rombo Health Centre,15490,13299,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Matuu Mission Hospital,12489,7307,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Narok County Referral Hospital,15311,7425,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
GK Prison Dispensary (Kingongo),10286,4532,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Magena Health Centre,13748,7719,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Immaculate Heart of Mary Hospital,10349,4001,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Katulani Health Centre,12244,6372,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Bughuta Health Centre,11262,9165,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kinoru Dispensary,12326,3059,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Laare Health Centre,12422,10554,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Lamu District Hospital,11512,2680,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kizingitini Dispensary,11496,6191,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ibeno Sub-CountyHospital,13612,11208,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kahawa Wendani Hospital,10308,13261,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kongowea Health Centre,11499,9108,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiganjo Health Centre,10582,9290,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kimorigho Dispensary,11477,3503,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Runyenjes District Hospital,12719,7470,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiandere Dispensary,10552,9054,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kiandege M Clinic,10550,3912,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kangundo District Hospital,12177,14467,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Island Farms Dispensary,10355,4533,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kirwara Health Clinic,10640,12614,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Nyamonye Mission Dispensary,13914,15028,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Obwanda Dispensary,13958,8928,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kericho Forest Dispensary,14832,9384,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mwatate Sub-County Hospital,11695,9353,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Maiela Health Centre,15106,15563,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mikindani Catholic Dispensary,11614,10489,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Bomachoge Borabu  Sub County Refferal Hospital,13673,2771,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Londiani District Hospital,15074,10254,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Loiyangalani Dispensary,12432,11145,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Siongiroi Health Centre,15587,7747,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Machakos Level 5 Hospital,12438,6371,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
ACK Dispensary (Isiolo),11918,16850,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Tabaka Mission Hospital,14139,8136,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Ngoliba Health Centre,10869,5519,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kianyaga Sub-District Hospital,10565,8774,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mpeketoni Sub-District Hospital,11649,2730,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
ASN Upendo Village Dispensary,15762,8072,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mau Narok Health Centre,15156,8467,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Mulot Health Centre,17740,10021,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Oroche Dispensary,13992,9827,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Memorial Hospital,13087,6894,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Gede Health Centre,11387,7528,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Tumutumu (PCEA) Hospital,11124,11725,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
Kanyakine District Hospital,12181,9755,2017Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
