no,facility,ward,subcounty,county,mfl_code,orgunitid,support_period,programs,mechanism_name,attribution_id
1275,Kasaka Dispensary,Kabartonjo Ward,Baringo North Sub County,Baringo County,20353,4369,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1276,Kapturo Dispensary (Bartabwa),Bartabwa Ward,Baringo North Sub County,Baringo County,14793,10783,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1277,Kaptumin Dispensary,Kabartonjo Ward,Baringo North Sub County,Baringo County,14790,10768,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1278,Kaptum Dispensary,Kabartonjo Ward,Baringo North Sub County,Baringo County,14788,3693,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1279,Kaptiony Dispensary,Barwessa Ward,Baringo North Sub County,Baringo County,14785,2101,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1280,Kapluk Dispensary,Barwessa Ward,Baringo North Sub County,Baringo County,14743,4719,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1281,Kapkombe Dispensary,Saimoi/kipsaraman Ward,Baringo North Sub County,Baringo County,20467,10842,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1282,Kapkiamo Dispensary,Kabartonjo Ward,Baringo North Sub County,Baringo County,14716,10827,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1283,Kapchepkor Dispensary,Saimoi/kipsaraman Ward,Baringo North Sub County,Baringo County,14694,13291,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1284,Kalabata Dispensary,Bartabwa Ward,Baringo North Sub County,Baringo County,17100,2099,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1285,Bossei Dispensary,Kabartonjo Ward,Baringo North Sub County,Baringo County,14270,4075,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1286,Bartolimo Dispensary,Saimoi/kipsaraman Ward,Baringo North Sub County,Baringo County,14242,4702,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1287,Bartabwa Healty Centre,Bartabwa Ward,Baringo North Sub County,Baringo County,14241,10885,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1288,Atiar Dispensary,Bartabwa Ward,Baringo North Sub County,Baringo County,14220,2042,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1289,Akorian Dispensary,Saimo/soi Ward,Baringo North Sub County,Baringo County,20481,2085532,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1290,Aiyebo Dispensary,Saimoi/kipsaraman Ward,Baringo North Sub County,Baringo County,14193,4693,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1291,Seretunin Health Centre,Ewalel/chapchap Ward,Baringo Central Sub County,Baringo County,15549,12190,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1292,Tenges Health Centre,Tenges Ward,Baringo Central Sub County,Baringo County,15718,2748,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1293,Salawa Health Centre,Kabarnet Ward,Baringo Central Sub County,Baringo County,15522,1398,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1294,Mogorwa Health Centre,Tenges Ward,Baringo Central Sub County,Baringo County,15197,6908,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1295,Kituro Health Centre,Ewalel/chapchap Ward,Baringo Central Sub County,Baringo County,14953,1325,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1296,Kiptagich Health Centre,Sacho Ward,Baringo Central Sub County,Baringo County,14923,1324,2018Q3,"FPRH,MCH,Nutrition,Training,WASH",Afya Uzazi,2045430
1297,AIC Zombe Health Centre,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,12860,1357,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1298,Mumoni Nursing Home,Mumoni Ward,Mwingi North Sub County,Kitui County,21120,5312,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1299,Muruangai Dispensary,Baawa Ward,Samburu Central Sub County,Samburu County,17277,11019,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1300,Musavani Dispensary,Tseikuru Ward,Mwingi North Sub County,Kitui County,20042,9618,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1301,Museve Dispensary,Kyangwithya east Ward,Kitui Central  Sub County,Kitui County,12583,3795,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1302,Mumbuni Nursing Home,Central Ward,Mwingi Central Sub- County,Kitui County,12574,4576,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1303,Mumbuni Dispensary (Mwingi),Migwani Ward,Mwingi West Sub County,Kitui County,12573,7485,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1304,Nzawa Health Centre,Nguutani Ward,Mwingi West Sub County,Kitui County,12690,7329,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1305,Agenga Dispensary (Samia),Ageng'A Nanguba Ward,Samia Sub County,Busia County,15790,4823,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1306,Opiroi Dispensary,Baawa Ward,Samburu Central Sub County,Samburu County,15442,1273,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1307,Our Lady Of Lourdes Mutomo Hospital,Mutomo Ward,Kitui South Sub County,Kitui County,12604,6408,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1308,Thanantu Faith Clinic Dispensary,Mukothima Ward,Tharaka North Sub County,Tharaka Nithi County,12793,6957,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1309,Madoadi Dispensary (Sololo),Sololo Ward,Moyale  Sub County,Marsabit County,17902,11188,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1310,Porro Health Centre,Porro Ward,Samburu Central Sub County,Samburu County,15468,11057,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1311,Presbyterian Ttc Rubate Health Centre,Magumoni Ward,Chuka Sub County,Tharaka Nithi County,16233,11553,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1312,Miambani Health Centre,Miambani Ward,Kitui Central  Sub County,Kitui County,12519,11352,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1313,Mbondoni Dispensary (Mwingi),Kiomo/kyethani Ward,Mwingi West Sub County,Kitui County,16246,7554,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1314,Kisasi Health Centre (Kitui),Kisasi Ward,Kitui Rural Sub County,Kitui County,12340,13878,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1315,El Hadi Dispensary,Dukana Ward,North Horr  Sub County,Marsabit County,11997,11200,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1316,Rehoboth Maternity Nursing Home(Mwingi North),Kyuso Ward,Mwingi North Sub County,Kitui County,12243,4015,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1317,Mavui Dispensary,Kyome/thaana Ward,Mwingi West Sub County,Kitui County,12495,7603,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1318,Chogoria (PCEA) Hospital,Chogoria Ward,Mwimbi Sub County,Tharaka Nithi County,11970,11689,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1319,Kwangamor Dispensary,Amukura east Ward,Teso South Sub County,Busia County,21033,4648,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1320,Remot Dispensary,Wamba west Ward,Samburu East Sub County,Samburu County,20745,10100,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1321,Weru Dispensary,Mariani Ward,Igambang'ombe Sub County,Tharaka Nithi County,12845,3979,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1322,Kwa Mutonga Health Centre,Kwamutonga/kithumula Ward,Kitui West  Sub County,Kitui County,12394,4024,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1323,Samburu County Referral Hospital,Maralal Ward,Samburu Central Sub County,Samburu County,15126,13505,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1324,Magenka Dispensary,Magumoni Ward,Chuka Sub County,Tharaka Nithi County,12443,11809,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1325,Gatunga Health Centre,Marimanti Ward,Tharaka South Sub County,Tharaka Nithi County,12034,11624,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1326,Seketet Dispensary,Porro Ward,Samburu Central Sub County,Samburu County,15543,11023,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1327,Amaase Health Centre,Chakol south Ward,Teso South Sub County,Busia County,15797,12363,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1328,Mathyakani Dispensary,Central Ward,Mwingi Central Sub- County,Kitui County,16927,12593,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1329,Sereolipi Health Centre,Waso Ward,Samburu East Sub County,Samburu County,15547,9040,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1330,Mbitini Health Centre,Mbitini Ward,Kitui Rural Sub County,Kitui County,12521,6333,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1331,Ngurunit Health centre,Korr/ngurunit Ward,Laisamis  Sub County,Marsabit County,12660,13453,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1332,Arosa Dispensary,Moyale township Ward,Moyale  Sub County,Marsabit County,17705,11166,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1333,Sirata Oirobi Dispensary,Porro Ward,Samburu Central Sub County,Samburu County,15590,10975,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1334,Baragu Health Centre,Chogoria Ward,Mwimbi Sub County,Tharaka Nithi County,11942,2673,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1335,Mathunzini Dispensary,Nguutani Ward,Mwingi West Sub County,Kitui County,16656,7322,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1336,Mathuki Health Centre,Mui Ward,Mwingi Central Sub- County,Kitui County,12483,3069,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1337,Mumbuni Dispensary (Maara),Muthambi Ward,Muthambi Sub County,Tharaka Nithi County,12570,11439,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1338,Mataka Dispensary,Kyuso Ward,Mwingi North Sub County,Kitui County,12480,3772,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1339,Buburi Community Clinic,Ageng'A Nanguba Ward,Samia Sub County,Busia County,18120,4824,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1340,Parkishon Dispensary,Karare Ward,Saku  Sub County,Marsabit County,20608,11285,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1341,Nambale Sub County Hospital,Nambale Ward,Nambale Sub County,Busia County,16066,3090,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1342,Mukui Health Centre,Ganga Ward,Mwimbi Sub County,Tharaka Nithi County,12561,9536,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1343,Suguta Marmar Health Centre,Saguta Marmar Ward,Samburu Central Sub County,Samburu County,15682,10874,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1344,Nana Dispensary,Golbo Ward,Moyale  Sub County,Marsabit County,12634,13468,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1345,Swari Model Health Centre,Wamba north Ward,Samburu East Sub County,Samburu County,15693,9044,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1346,Syongila Dispensary,Township Ward,Kitui Central  Sub County,Kitui County,12781,4603,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1347,Masyungwa Health Centre,Tseikuru Ward,Mwingi North Sub County,Kitui County,12479,2915,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1348,Somare Dispensary,Butiye Ward,Moyale  Sub County,Marsabit County,12740,13596,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1349,Marte Parleu Dispensary,Wamba north Ward,Samburu East Sub County,Samburu County,20747,10105,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1350,Tanaka Nursing Home,Burumba Ward,Matayos Sub County,Busia County,16149,5476,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1351,Mundembu Dispensary,Bukhayo east Ward,Nambale Sub County,Busia County,21044,8893,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1352,Dabel Health Centre (Moyale),Golbo Ward,Moyale  Sub County,Marsabit County,11982,12903,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1353,Tei Wa Yesu Health Centre,Kyuso Ward,Mwingi North Sub County,Kitui County,12789,11645,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1354,Thaana Nzau Dispensary,Kyome/thaana Ward,Mwingi West Sub County,Kitui County,12792,11576,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1355,Buduta Dispensary,Ageng'A Nanguba Ward,Samia Sub County,Busia County,15813,4839,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1356,Tharaka Health Centre,Tharaka Ward,Mwingi North Sub County,Kitui County,12794,11816,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1357,Maralal GK Prison Dispensary,Maralal Ward,Samburu Central Sub County,Samburu County,14526,11021,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1358,Burumba Dispensary,Burumba Ward,Matayos Sub County,Busia County,21041,5149,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1359,Thitani Health Centre,Kyome/thaana Ward,Mwingi West Sub County,Kitui County,12797,5822,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1360,Maralal Catholic Dispensary,Maralal Ward,Samburu Central Sub County,Samburu County,15125,12939,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1361,Thitha Dispensary,Kivou Ward,Mwingi Central Sub- County,Kitui County,12798,11594,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1362,Alupe Sub-District Hospital,Ang'orom Ward,Teso South Sub County,Busia County,15795,4551,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1363,Thonzweni Dispensary,Kyome/thaana Ward,Mwingi West Sub County,Kitui County,16859,11513,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1364,Ramata Health Centre,Sololo Ward,Moyale  Sub County,Marsabit County,12708,13546,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1365,Tii Dispensary,Kyuso Ward,Mwingi North Sub County,Kitui County,12800,12414,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1366,Chogoria Chuka Branch,Karingani Ward,Chuka Sub County,Tharaka Nithi County,22364,13501,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1367,Tiva Dispensary,Kyangwithya west Ward,Kitui Central  Sub County,Kitui County,12803,7833,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1368,Yatta Health Centre,Kwavonza/yatta Ward,Kitui Rural Sub County,Kitui County,12853,13908,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1369,St Lucy's Hospital,Karingani Ward,Chuka Sub County,Tharaka Nithi County,12758,9401,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1370,Loikumkum Dispensary,Ndoto Ward,Samburu North Sub County,Samburu County,17278,1783,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1371,Tseikuru Sub-District Hospital,Tseikuru Ward,Mwingi North Sub County,Kitui County,12805,11815,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1372,Nguuni Dispensary,Kisasi Ward,Kitui Rural Sub County,Kitui County,16858,10440,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1373,Fahelma Community CFW Clinic,Nambale Ward,Nambale Sub County,Busia County,23087,2061382,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1374,Tungutu Health Centre,Kyangwithya west Ward,Kitui Central  Sub County,Kitui County,12812,3794,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1375,Malanga Dispensary,Bukhayo central Ward,Nambale Sub County,Busia County,15995,10599,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1376,Tuvaani Dispensary,Nuu Ward,Mwingi Central Sub- County,Kitui County,12817,10162,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1377,Karbururi Dispensary,Uran Ward,Moyale  Sub County,Marsabit County,18425,13120,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1378,Twimyua Dispensary,Kyuso Ward,Mwingi North Sub County,Kitui County,12818,1331,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1379,Mwonge Dispensary,Magumoni Ward,Chuka Sub County,Tharaka Nithi County,12630,3055,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1380,Waso Rongai Dispensary,Nyiro Ward,Samburu North Sub County,Samburu County,16953,12318,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1381,Tyaa Kamuthale Health Centre,Mumoni Ward,Mwingi North Sub County,Kitui County,12819,5799,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1382,Kibunga Sub-District Hospital,Marimanti Ward,Tharaka South Sub County,Tharaka Nithi County,23887,11737,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1383,Uae Dispensary,Mutomo Ward,Kitui South Sub County,Kitui County,22188,2846,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1384,Hurri-Hills Dispensary,Maikona Ward,North Horr  Sub County,Marsabit County,12061,11143,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1385,Ukasi Model Health Centre,Nguni Ward,Mwingi Central Sub- County,Kitui County,18090,11740,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1386,Mama Vero Clinic,Kauwi Ward,Kitui West  Sub County,Kitui County,12464,7469,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1387,Kamacabi Dispensary,Mukothima Ward,Tharaka North Sub County,Tharaka Nithi County,12158,12344,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1388,Majira Dispensary,Chogoria Ward,Mwimbi Sub County,Tharaka Nithi County,17891,4092,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1389,Usiani Dispensary,Miambani Ward,Kitui Central  Sub County,Kitui County,18364,11864,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1390,Malalani Health Center,Endau/malalani Ward,Kitui East Sub County,Kitui County,12459,7204,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1391,Usueni Dispensary,Tseikuru Ward,Mwingi North Sub County,Kitui County,12832,11916,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1392,South Horr Dispensary,Nyiro Ward,Samburu North Sub County,Samburu County,15621,9041,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1393,Amukura Mission Health Centre,Amukura east Ward,Teso South Sub County,Busia County,15799,10741,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1394,Waita Health Centre,Waita Ward,Mwingi Central Sub- County,Kitui County,12839,12799,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1395,Busagwa Dispensary,Bunyala Central Ward,Bunyala Sub County,Busia County,21037,5980,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1396,Kamarandi Dispensary,Chiakagira Ward,Tharaka South Sub County,Tharaka Nithi County,18775,11591,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1397,Wamba Health Centre,Wamba east Ward,Samburu East Sub County,Samburu County,15768,13402,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1398,Wanzoa Dispensary,Kyangwithya east Ward,Kitui Central  Sub County,Kitui County,12842,7924,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1399,Tuum Dispensary,Nyiro Ward,Samburu North Sub County,Samburu County,15757,4337,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1400,Wii Dispensary,Mulango Ward,Kitui Central  Sub County,Kitui County,12846,13231,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1401,Katutu Health Centre,Kauwi Ward,Kitui West  Sub County,Kitui County,12249,5166,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1402,Makongoni Dispensary,Mutomo Ward,Kitui South Sub County,Kitui County,19107,11274,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1403,Lupida Health Centre,Bukhayo north/walatsi Ward,Nambale Sub County,Busia County,15975,10727,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1404,Badassa Dispensary,Sagante/jaldesa Ward,Saku  Sub County,Marsabit County,11940,12895,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1405,Port Victoria Hospital,Bunyala West Ward,Bunyala Sub County,Busia County,16091,6036,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1406,Marsabit County Refferal Hospital,Marsabit central Ward,Saku  Sub County,Marsabit County,12472,13338,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1407,Kamaindi Dispensary,Igambang`ombe Ward,Igambang'ombe Sub County,Tharaka Nithi County,12159,5285,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1408,Wingemi Health Centre,Nuu Ward,Mwingi Central Sub- County,Kitui County,12848,3435,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1409,Nambuku Model Health Centre,Namboboto Nambuku Ward,Samia Sub County,Busia County,16068,4949,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1410,Winzyeei Health Centre,Kyome/thaana Ward,Mwingi West Sub County,Kitui County,12849,13479,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1411,Nkondi Health Centre,Nkondi Ward,Tharaka South Sub County,Tharaka Nithi County,12665,12688,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1412,Burgabo Dispensary,Turbi Ward,North Horr  Sub County,Marsabit County,18910,14031,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1413,Ambalo Dispensary,Obbu Ward,Moyale  Sub County,Marsabit County,11927,3758,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1414,Yaathi Dispensary,Ikanga/kyatune Ward,Kitui South Sub County,Kitui County,17598,5743,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1415,Kiereni Dispensary,Mugwe Ward,Chuka Sub County,Tharaka Nithi County,12297,4211,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1416,Pesi Medical Clinic,Ang'orom Ward,Teso South Sub County,Busia County,20167,10657,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1417,Kamwimbi Dispensary,Igambang`ombe Ward,Igambang'ombe Sub County,Tharaka Nithi County,20561,13115,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1418,Yakalia Dispensary,Mulango Ward,Kitui Central  Sub County,Kitui County,12851,11961,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1419,Kaare Dispensary,Mwimbi Ward,Mwimbi Sub County,Tharaka Nithi County,12120,11735,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1420,Uturini Community Dispensary,Chiakagira Ward,Tharaka South Sub County,Tharaka Nithi County,20338,11810,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1421,Kalacha Dispensary (Chalbi),Maikona Ward,North Horr  Sub County,Marsabit County,,5071,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1422,Makongo Dispensary,Zombe/mwitika Ward,Kitui East Sub County,Kitui County,18681,12432,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1423,Lwanyange Dispensary,Bukhayo central Ward,Nambale Sub County,Busia County,17155,2249,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1424,Makaani Dispensary,Miambani Ward,Kitui Central  Sub County,Kitui County,12449,11822,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1425,Lpartuk Dispensary,Maralal Ward,Samburu Central Sub County,Samburu County,17276,10999,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1426,Muthale Mission Hospital,Mutongoni Ward,Kitui West  Sub County,Kitui County,12587,14015,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1427,Loosuk Health Centre,Loosuk Ward,Samburu Central Sub County,Samburu County,15079,12283,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1428,Lontolio Dispensary,Laisamis Ward,Laisamis  Sub County,Marsabit County,16214,13272,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1429,Mukuuni Dispensary,Magumoni Ward,Chuka Sub County,Tharaka Nithi County,12563,4215,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1430,Longewan Dispensary,Saguta Marmar Ward,Samburu Central Sub County,Samburu County,15076,12917,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1431,Mosa Dispensary,Mbitini Ward,Kitui Rural Sub County,Kitui County,12541,6361,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1432,Khajula Dispensary,Bunyala south Ward,Bunyala Sub County,Busia County,21036,293260,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1433,Loltulelei Friends Dispensary,Lodokejek Ward,Samburu Central Sub County,Samburu County,14504,10933,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1434,Ung'atu Dispensary,Kisasi Ward,Kitui Rural Sub County,Kitui County,12823,10420,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1435,Lukolis Model Health Centre,Amukura west Ward,Teso South Sub County,Busia County,15968,10742,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1436,Kiini Health Centre,Mitheru Ward,Muthambi Sub County,Tharaka Nithi County,12301,11615,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1437,Sio Port District Hospital,Ageng'A Nanguba Ward,Samia Sub County,Busia County,16128,5120,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1438,Lolmolog Dispensary,Saguta Marmar Ward,Samburu Central Sub County,Samburu County,17189,8486,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1439,Tunyai Health centre,Chiakagira Ward,Tharaka South Sub County,Tharaka Nithi County,12813,11442,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1440,lolkunono Dispensary,Loosuk Ward,Samburu Central Sub County,Samburu County,20721,9289,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1441,Mutindwa Dispensary,Chogoria Ward,Mwimbi Sub County,Tharaka Nithi County,12597,10995,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1442,Lolkuniyani Dispensary,Wamba north Ward,Samburu East Sub County,Samburu County,20743,3430,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
1443,Nangina Dispensary,Nangina Ward,Samia Sub County,Busia County,16072,12448,2018Q3,Nutrition,FHI360 - Nutrition and HIV Program,290977
